time_in_ms;speedA;speedB;GPIO1;GPIO2;GPIO3;GPIO4
1754674882836;50;50;1;0;0;1
1754674883086;50;50;1;0;0;1
1754674883336;50;50;1;0;0;1
1754674883586;3;50;0;0;0;0
1754674883836;1;50;1;0;0;1
1754674884086;8;50;1;0;0;1
1754674884336;15;50;1;0;0;1
1754674884586;22;50;1;0;0;1
1754674884836;29;50;1;0;0;1
1754674885086;36;50;1;0;0;1
1754674885336;43;50;1;0;0;1
1754674885586;50;50;1;0;0;1
1754674885836;50;50;0;0;0;0
1754674886086;50;50;0;0;0;0
1754674886336;17;50;1;0;0;1
1754674886586;0;50;1;0;0;1
1754674886836;0;50;1;0;0;1
1754674887086;0;50;1;0;0;1
1754674887336;0;50;1;0;0;1
1754674887586;50;50;0;0;0;0
1754674887836;50;50;0;1;1;0
1754674888086;50;50;0;1;1;0
1754674888336;19;50;0;0;0;0
1754674888586;0;50;0;0;0;0
1754674888836;0;50;1;0;0;1
1754674889086;0;50;1;0;0;1
1754674889336;0;50;1;0;0;1
1754674889586;20;50;0;0;0;0
1754674889836;46;50;1;0;0;1
1754674890086;7;50;1;0;0;1
1754674890336;12;50;1;0;0;1
1754674890586;26;50;1;0;0;1
1754674890836;41;50;1;0;0;1
1754674891086;50;50;1;0;0;1
1754674891336;50;50;1;0;0;1
1754674891586;50;50;1;0;0;1
1754674891836;50;50;1;0;0;1
1754674892086;50;50;0;0;0;0
1754674892336;50;50;0;0;0;0
1754674892586;50;50;0;0;0;0
1754674892836;38;50;0;0;0;0
1754674893086;0;50;0;0;0;0
1754674893336;0;50;1;0;0;1
1754674893586;0;50;1;0;0;1
1754674893836;0;50;1;0;0;1
1754674894086;0;50;1;0;0;1
1754674894336;50;50;0;0;0;0
1754674894586;50;50;0;1;1;0
1754674894836;50;50;0;1;1;0
1754674895086;50;50;0;0;0;0
1754674895336;50;50;0;0;0;0
1754674895586;50;50;0;0;0;0
1754674895836;45;50;1;0;0;1
1754674896086;9;50;1;0;0;1
1754674896336;8;50;1;0;0;1
1754674896586;19;50;1;0;0;1
1754674896836;30;50;1;0;0;1
1754674897086;41;50;1;0;0;1
1754674897336;50;50;1;0;0;1
1754674897586;50;50;1;0;0;1
1754674897836;0;50;0;0;0;0
1754674898086;0;50;1;0;0;1
1754674898336;0;50;1;0;0;1
1754674898586;44;50;0;0;0;0
1754674898836;50;50;0;1;1;0
1754674899086;25;50;0;0;0;0
1754674899336;0;50;0;0;0;0
1754674899586;0;50;1;0;0;1
1754674899836;0;50;1;0;0;1
1754674900086;0;50;1;0;0;1
1754674900336;0;50;1;0;0;1
1754674900586;0;50;1;0;0;1
1754674900836;0;50;0;0;0;0
1754674901086;0;50;0;0;0;0
1754674901336;41;50;1;0;0;1
1754674901586;38;50;1;0;0;1
1754674901836;24;50;1;0;0;1
1754674902086;10;50;1;0;0;1
1754674902336;0;50;1;0;0;1
1754674902586;0;50;1;0;0;1
1754674902836;0;50;1;0;0;1
1754674903086;0;50;1;0;0;1
1754674903336;0;50;1;0;0;1
1754674903586;0;50;1;0;0;1
1754674903836;23;50;0;0;0;0
1754674904086;50;50;0;0;0;0
1754674904336;50;50;0;1;1;0
1754674904586;0;50;0;0;0;0
1754674904836;0;50;1;0;0;1
1754674905086;0;50;1;0;0;1
1754674905336;9;50;0;0;0;0
1754674905586;50;50;0;0;0;0
1754674905836;50;50;0;0;0;0
1754674906086;50;50;1;0;0;1
1754674906336;50;50;1;0;0;1
1754674906586;50;50;1;0;0;1
1754674906836;0;50;0;0;0;0
1754674907086;0;50;1;0;0;1
1754674907336;0;50;1;0;0;1
1754674907586;0;50;1;0;0;1
1754674907836;0;50;1;0;0;1
1754674908086;0;50;1;0;0;1
1754674908336;0;50;1;0;0;1
1754674908586;0;50;1;0;0;1
1754674908836;0;50;1;0;0;1
1754674909086;0;50;0;0;0;0
1754674909336;43;50;1;0;0;1
1754674909586;25;50;1;0;0;1
1754674909836;7;50;1;0;0;1
1754674910086;0;50;1;0;0;1
1754674910336;0;50;1;0;0;1
1754674910586;0;50;1;0;0;1
1754674910836;0;50;1;0;0;1
1754674911086;0;50;0;0;0;0
1754674911336;0;50;0;0;0;0
1754674911586;0;50;1;0;0;1
1754674911836;0;50;1;0;0;1
1754674912086;0;50;1;0;0;1
1754674912336;0;50;1;0;0;1
1754674912586;18;50;0;0;0;0
1754674912836;46;50;0;0;0;0
1754674913086;50;50;1;0;0;1
1754674913336;50;50;1;0;0;1
1754674913586;50;50;1;0;0;1
1754674913836;0;50;0;0;0;0
1754674914086;0;50;1;0;0;1
1754674914336;0;50;1;0;0;1
1754674914586;0;50;1;0;0;1
1754674914836;0;50;1;0;0;1
1754674915086;0;50;1;0;0;1
1754674915336;0;50;1;0;0;1
1754674915586;0;50;1;0;0;1
1754674915836;0;50;1;0;0;1
1754674916086;0;50;1;0;0;1
1754674916336;34;50;0;0;0;0
1754674916586;50;50;0;0;0;0
1754674916836;50;50;1;0;0;1
1754674917086;0;50;0;0;0;0
1754674917336;0;50;1;0;0;1
1754674917586;0;50;1;0;0;1
1754674917836;0;50;1;0;0;1
1754674918086;4;50;0;0;0;0
1754674918336;38;50;0;0;0;0
1754674918586;46;50;1;0;0;1
1754674918836;24;50;1;0;0;1
1754674919086;3;50;1;0;0;1
1754674919336;21;50;1;0;0;1
1754674919586;44;50;1;0;0;1
1754674919836;50;50;1;0;0;1
1754674920086;50;50;0;0;0;0
1754674920336;50;50;0;0;0;0
1754674920586;50;50;0;1;1;0
1754674920836;28;50;0;0;0;0
1754674921086;0;50;0;0;0;0
1754674921336;0;50;1;0;0;1
1754674921586;0;50;1;0;0;1
1754674921836;0;50;1;0;0;1
1754674922086;0;50;1;0;0;1
1754674922336;0;50;1;0;0;1
1754674922586;0;50;1;0;0;1
1754674922836;0;50;1;0;0;1
1754674923086;50;50;0;0;0;0
1754674923336;50;50;0;0;0;0
1754674923586;50;50;1;0;0;1
1754674923836;50;50;1;0;0;1
1754674924086;38;50;0;0;0;0
1754674924336;0;50;1;0;0;1
1754674924586;0;50;1;0;0;1
1754674924836;0;50;1;0;0;1
1754674925086;0;50;1;0;0;1
1754674925336;50;50;0;0;0;0
1754674925586;50;50;0;1;1;0
1754674925836;0;50;0;0;0;0
1754674926086;0;50;1;0;0;1
1754674926336;0;50;1;0;0;1
1754674926586;0;50;1;0;0;1
1754674926836;0;50;1;0;0;1
1754674927086;0;50;1;0;0;1
1754674927336;0;50;1;0;0;1
1754674927586;31;50;0;0;0;0
1754674927836;50;50;0;0;0;0
1754674928086;50;50;1;0;0;1
1754674928336;50;50;1;0;0;1
1754674928586;50;50;1;0;0;1
1754674928836;50;50;1;0;0;1
1754674929086;7;50;0;0;0;0
1754674929336;0;50;1;0;0;1
1754674929586;0;50;1;0;0;1
1754674929836;0;50;1;0;0;1
1754674930086;0;50;1;0;0;1
1754674930336;0;50;1;0;0;1
1754674930586;0;50;1;0;0;1
1754674930836;28;50;0;0;0;0
1754674931086;37;50;1;0;0;1
1754674931336;0;50;1;0;0;1
1754674931586;0;50;1;0;0;1
1754674931836;0;50;1;0;0;1
1754674932086;27;50;0;0;0;0
1754674932336;50;50;0;0;0;0
1754674932586;36;50;1;0;0;1
1754674932836;0;50;1;0;0;1
1754674933086;0;50;1;0;0;1
1754674933336;0;50;1;0;0;1
1754674933586;0;50;1;0;0;1
1754674933836;0;50;1;0;0;1
1754674934086;0;50;1;0;0;1
1754674934336;0;50;1;0;0;1
1754674934586;1;50;0;0;0;0
1754674934836;50;50;0;0;0;0
1754674935086;50;50;0;1;1;0
1754674935336;41;50;0;0;0;0
1754674935586;0;50;0;0;0;0
1754674935836;0;50;1;0;0;1
1754674936086;0;50;1;0;0;1
1754674936336;9;50;0;0;0;0
1754674936586;38;50;0;0;0;0
1754674936836;50;50;0;0;0;0
1754674937086;37;50;1;0;0;1
1754674937336;20;50;1;0;0;1
1754674937586;3;50;1;0;0;1
1754674937836;40;50;1;0;0;1
1754674938086;50;50;1;0;0;1
1754674938336;41;50;0;0;0;0
1754674938586;23;50;0;0;0;0
1754674938836;4;50;0;0;0;0
1754674939086;0;50;0;0;0;0
1754674939336;0;50;1;0;0;1
1754674939586;0;50;1;0;0;1
1754674939836;0;50;1;0;0;1
1754674940086;0;50;1;0;0;1
1754674940336;0;50;1;0;0;1
1754674940586;0;50;1;0;0;1
1754674940836;5;50;0;0;0;0
1754674941086;50;50;0;0;0;0
1754674941336;50;50;0;0;0;0
1754674941586;50;50;1;0;0;1
1754674941836;50;50;1;0;0;1
1754674942086;37;50;0;0;0;0
1754674942336;0;50;0;0;0;0
1754674942586;0;50;1;0;0;1
1754674942836;0;50;1;0;0;1
1754674943086;0;50;1;0;0;1
1754674943336;0;50;1;0;0;1
1754674943586;0;50;1;0;0;1
1754674943836;50;50;0;0;0;0
1754674944086;50;50;0;1;1;0
1754674944336;27;50;0;0;0;0
1754674944586;0;50;0;0;0;0
1754674944836;4;50;1;0;0;1
1754674945086;9;50;1;0;0;1
1754674945336;15;50;1;0;0;1
1754674945586;20;50;1;0;0;1
1754674945836;26;50;1;0;0;1
1754674946086;31;50;1;0;0;1
1754674946336;37;50;1;0;0;1
1754674946586;43;50;1;0;0;1
1754674946836;48;50;1;0;0;1
1754674947086;50;47;0;0;0;0
1754674947336;50;24;0;0;0;0
1754674947586;50;1;0;0;0;0
1754674947836;50;0;1;0;0;1
1754674948086;50;30;0;0;0;0
1754674948336;50;31;0;0;0;0
1754674948586;50;6;0;0;0;0
1754674948836;50;0;0;0;0;0
1754674949086;50;0;1;0;0;1
1754674949336;50;50;0;0;0;0
1754674949586;50;50;1;0;0;1
1754674949836;50;50;1;0;0;1
1754674950086;50;50;1;0;0;1
1754674950336;40;50;0;0;0;0
1754674950586;1;50;0;0;0;0
1754674950836;0;50;0;0;0;0
1754674951086;0;50;1;0;0;1
1754674951336;0;50;1;0;0;1
1754674951586;0;50;1;0;0;1
1754674951836;0;50;1;0;0;1
1754674952086;0;50;1;0;0;1
1754674952336;0;50;1;0;0;1
1754674952586;0;50;1;0;0;1
1754674952836;50;50;0;0;0;0
1754674953086;50;50;1;0;0;1
1754674953336;50;50;1;0;0;1
1754674953586;50;50;1;0;0;1
1754674953836;0;50;0;0;0;0
1754674954086;0;50;1;0;0;1
1754674954336;0;50;1;0;0;1
1754674954586;0;50;1;0;0;1
1754674954836;0;50;1;0;0;1
1754674955086;0;50;1;0;0;1
1754674955336;0;50;1;0;0;1
1754674955586;0;50;1;0;0;1
1754674955836;50;50;0;0;0;0
1754674956086;50;50;0;0;0;0
1754674956336;50;50;0;1;1;0
1754674956586;50;50;0;1;1;0
1754674956836;0;50;0;0;0;0
1754674957086;0;50;1;0;0;1
1754674957336;0;50;1;0;0;1
1754674957586;0;50;1;0;0;1
1754674957836;50;42;0;0;0;0
1754674958086;50;21;0;0;0;0
1754674958336;50;0;0;0;0;0
1754674958586;50;0;1;0;0;1
1754674958836;50;50;0;0;0;0
1754674959086;50;50;0;0;0;0
1754674959336;50;50;1;0;0;1
1754674959586;50;50;1;0;0;1
1754674959836;50;50;1;0;0;1
1754674960086;50;50;1;0;0;1
1754674960336;50;50;0;0;0;0
1754674960586;50;50;0;0;0;0
1754674960836;24;50;1;0;0;1
1754674961086;0;50;1;0;0;1
1754674961336;0;50;1;0;0;1
1754674961586;0;50;1;0;0;1
1754674961836;45;50;0;0;0;0
1754674962086;50;50;0;1;1;0
1754674962336;44;50;0;0;0;0
1754674962586;0;50;0;0;0;0
1754674962836;0;50;1;0;0;1
1754674963086;0;50;1;0;0;1
1754674963336;0;50;1;0;0;1
1754674963586;2;50;0;0;0;0
1754674963836;50;50;0;0;0;0
1754674964086;50;50;0;0;0;0
1754674964336;50;50;1;0;0;1
1754674964586;50;50;1;0;0;1
1754674964836;50;50;1;0;0;1
1754674965086;39;50;0;0;0;0
1754674965336;20;50;0;0;0;0
1754674965586;1;50;0;0;0;0
1754674965836;0;50;0;0;0;0
1754674966086;0;50;1;0;0;1
1754674966336;0;50;1;0;0;1
1754674966586;0;50;1;0;0;1
1754674966836;0;50;1;0;0;1
1754674967086;0;50;1;0;0;1
1754674967336;0;50;1;0;0;1
1754674967586;0;50;1;0;0;1
1754674967836;0;50;1;0;0;1
1754674968086;0;50;1;0;0;1
1754674968336;0;50;1;0;0;1
1754674968586;50;50;0;0;0;0
1754674968836;50;50;0;0;0;0
1754674969086;50;50;0;0;0;0
1754674969336;50;50;1;0;0;1
1754674969586;50;50;1;0;0;1
1754674969836;50;50;1;0;0;1
1754674970086;48;50;0;0;0;0
1754674970336;20;50;0;0;0;0
1754674970586;0;50;0;0;0;0
1754674970836;0;50;1;0;0;1
1754674971086;0;50;1;0;0;1
1754674971336;0;50;1;0;0;1
1754674971586;0;50;1;0;0;1
1754674971836;0;50;1;0;0;1
1754674972086;0;50;1;0;0;1
1754674972336;0;50;1;0;0;1
1754674972586;0;50;1;0;0;1
1754674972836;0;50;1;0;0;1
1754674973086;0;50;1;0;0;1
1754674973336;3;50;0;0;0;0
1754674973586;50;40;0;0;0;0
1754674973836;50;22;0;0;0;0
1754674974086;50;5;0;0;0;0
1754674974336;50;0;1;0;0;1
1754674974586;50;8;0;0;0;0
1754674974836;50;50;0;0;0;0
1754674975086;50;50;0;0;0;0
1754674975336;50;50;1;0;0;1
1754674975586;50;50;1;0;0;1
1754674975836;50;50;1;0;0;1
1754674976086;7;50;0;0;0;0
1754674976336;0;50;0;0;0;0
1754674976586;0;50;1;0;0;1
1754674976836;0;50;1;0;0;1
1754674977086;0;50;1;0;0;1
1754674977336;0;50;1;0;0;1
1754674977586;0;50;1;0;0;1
1754674977836;0;50;1;0;0;1
1754674978086;0;50;1;0;0;1
1754674978336;0;50;1;0;0;1
1754674978586;50;50;0;0;0;0
1754674978836;50;50;0;0;0;0
1754674979086;50;50;0;0;0;0
1754674979336;50;50;1;0;0;1
1754674979586;50;50;1;0;0;1
1754674979836;50;50;1;0;0;1
1754674980086;50;50;1;0;0;1
1754674980336;24;50;0;0;0;0
1754674980586;2;50;0;0;0;0
1754674980836;24;50;0;0;0;0
1754674981086;46;50;0;0;0;0
1754674981336;34;50;1;0;0;1
1754674981586;0;50;1;0;0;1
1754674981836;0;50;1;0;0;1
1754674982086;0;50;1;0;0;1
1754674982336;0;50;1;0;0;1
1754674982586;0;50;1;0;0;1
1754674982836;50;50;0;0;0;0
1754674983086;50;50;0;1;1;0
1754674983336;0;50;0;0;0;0
1754674983586;0;50;1;0;0;1
1754674983836;0;50;1;0;0;1
1754674984086;0;50;1;0;0;1
1754674984336;43;50;0;0;0;0
1754674984586;50;21;0;0;0;0
1754674984836;50;0;0;0;0;0
1754674985086;50;43;1;0;0;1
1754674985336;50;50;0;0;0;0
1754674985586;50;50;0;0;0;0
1754674985836;50;50;0;0;0;0
1754674986086;50;50;1;0;0;1
1754674986336;50;50;1;0;0;1
1754674986586;29;50;0;0;0;0
1754674986836;5;50;0;0;0;0
1754674987086;0;50;0;0;0;0
1754674987336;0;50;1;0;0;1
1754674987586;0;50;1;0;0;1
1754674987836;0;50;1;0;0;1
1754674988086;0;50;1;0;0;1
1754674988336;0;50;1;0;0;1
1754674988586;0;50;1;0;0;1
1754674988836;0;50;1;0;0;1
1754674989086;0;50;1;0;0;1
1754674989336;50;50;0;0;0;0
1754674989586;50;50;0;0;0;0
1754674989836;50;50;0;0;0;0
1754674990086;34;50;1;0;0;1
1754674990336;18;50;1;0;0;1
1754674990586;1;50;1;0;0;1
1754674990836;0;50;1;0;0;1
1754674991086;0;50;1;0;0;1
1754674991336;0;50;1;0;0;1
1754674991586;0;50;1;0;0;1
1754674991836;0;50;1;0;0;1
1754674992086;36;50;0;0;0;0
1754674992336;50;50;0;0;0;0
1754674992586;50;50;0;1;1;0
1754674992836;0;50;0;0;0;0
1754674993086;0;50;1;0;0;1
1754674993336;0;50;1;0;0;1
1754674993586;0;50;1;0;0;1
1754674993836;50;50;0;0;0;0
1754674994086;50;50;0;0;0;0
1754674994336;50;50;0;0;0;0
1754674994586;50;50;1;0;0;1
1754674994836;50;50;1;0;0;1
1754674995086;42;50;0;0;0;0
1754674995336;10;50;0;0;0;0
1754674995586;0;50;0;0;0;0
1754674995836;0;50;1;0;0;1
1754674996086;0;50;1;0;0;1
1754674996336;0;50;1;0;0;1
1754674996586;0;50;1;0;0;1
1754674996836;0;50;1;0;0;1
1754674997086;0;50;1;0;0;1
1754674997336;0;50;1;0;0;1
1754674997586;0;50;1;0;0;1
1754674997836;0;50;1;0;0;1
1754674998086;45;50;0;0;0;0
1754674998336;24;50;0;0;0;0
1754674998586;4;50;0;0;0;0
1754674998836;0;50;0;0;0;0
1754674999086;0;50;1;0;0;1
1754674999336;50;50;0;0;0;0
1754674999586;42;50;1;0;0;1
1754674999836;23;50;1;0;0;1
1754675000086;5;50;1;0;0;1
1754675000336;0;50;1;0;0;1
1754675000586;0;50;1;0;0;1
1754675000836;0;50;1;0;0;1
1754675001086;0;50;1;0;0;1
1754675001336;0;50;1;0;0;1
1754675001586;0;50;1;0;0;1
1754675001836;0;50;1;0;0;1
1754675002086;29;50;0;0;0;0
1754675002336;0;50;0;0;0;0
1754675002586;0;50;1;0;0;1
1754675002836;0;50;1;0;0;1
1754675003086;0;50;0;0;0;0
1754675003336;0;50;0;0;0;0
1754675003586;0;50;0;0;0;0
1754675003836;0;50;1;0;0;1
1754675004086;30;50;0;0;0;0
1754675004336;50;50;0;0;0;0
1754675004586;37;50;1;0;0;1
1754675004836;12;50;1;0;0;1
1754675005086;0;50;1;0;0;1
1754675005336;0;50;1;0;0;1
1754675005586;0;50;1;0;0;1
1754675005836;44;50;0;0;0;0
1754675006086;50;50;0;1;1;0
1754675006336;42;50;0;0;0;0
1754675006586;0;50;0;0;0;0
1754675006836;0;50;1;0;0;1
1754675007086;0;50;1;0;0;1
1754675007336;0;50;1;0;0;1
1754675007586;0;50;1;0;0;1
1754675007836;0;50;1;0;0;1
1754675008086;0;50;1;0;0;1
1754675008336;0;50;1;0;0;1
1754675008586;0;50;1;0;0;1
1754675008836;0;50;1;0;0;1
1754675009086;50;50;0;0;0;0
1754675009336;50;50;0;0;0;0
1754675009586;50;50;1;0;0;1
1754675009836;50;50;1;0;0;1
1754675010086;50;50;1;0;0;1
1754675010336;50;50;1;0;0;1
1754675010586;39;50;0;0;0;0
1754675010836;14;50;0;0;0;0
1754675011086;0;50;0;0;0;0
1754675011336;0;50;1;0;0;1
1754675011586;0;50;1;0;0;1
1754675011836;0;50;1;0;0;1
1754675012086;0;50;1;0;0;1
1754675012336;0;50;1;0;0;1
1754675012586;0;50;1;0;0;1
1754675012836;0;50;1;0;0;1
1754675013086;50;50;0;0;0;0
1754675013336;50;50;0;0;0;0
1754675013586;50;50;0;0;0;0
1754675013836;50;50;1;0;0;1
1754675014086;50;50;1;0;0;1
1754675014336;29;50;0;0;0;0
1754675014586;0;50;0;0;0;0
1754675014836;0;50;1;0;0;1
1754675015086;0;50;1;0;0;1
1754675015336;0;50;1;0;0;1
1754675015586;0;50;1;0;0;1
1754675015836;0;50;1;0;0;1
1754675016086;0;50;1;0;0;1
1754675016336;0;50;1;0;0;1
1754675016586;0;50;1;0;0;1
1754675016836;0;50;1;0;0;1
1754675017086;0;50;1;0;0;1
1754675017336;0;50;1;0;0;1
1754675017586;0;50;1;0;0;1
1754675017836;50;46;0;0;0;0
1754675018086;50;22;0;0;0;0
1754675018336;50;0;0;0;0;0
1754675018586;50;0;1;0;0;1
1754675018836;50;50;0;0;0;0
1754675019086;50;50;0;0;0;0
1754675019336;50;50;0;0;0;0
1754675019586;50;50;1;0;0;1
1754675019836;50;50;1;0;0;1
1754675020086;50;50;1;0;0;1
1754675020336;37;50;0;0;0;0
1754675020586;0;50;0;0;0;0
1754675020836;0;50;1;0;0;1
1754675021086;0;50;1;0;0;1
1754675021336;0;50;1;0;0;1
1754675021586;0;50;1;0;0;1
1754675021836;0;50;1;0;0;1
1754675022086;0;50;1;0;0;1
1754675022336;0;50;1;0;0;1
1754675022586;0;50;0;0;0;0
1754675022836;50;50;0;0;0;0
1754675023086;50;50;0;0;0;0
1754675023336;50;50;1;0;0;1
1754675023586;50;50;1;0;0;1
1754675023836;50;50;1;0;0;1
1754675024086;0;50;0;0;0;0
1754675024336;0;50;0;0;0;0
1754675024586;0;50;1;0;0;1
1754675024836;0;50;1;0;0;1
1754675025086;0;50;1;0;0;1
1754675025336;50;50;0;0;0;0
1754675025586;40;50;0;0;0;0
1754675025836;0;50;0;0;0;0
1754675026086;0;50;1;0;0;1
1754675026336;0;50;1;0;0;1
1754675026586;0;50;1;0;0;1
1754675026836;0;50;1;0;0;1
1754675027086;0;50;1;0;0;1
